"시군별(1)","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008","2008"
"시군별(1)","합계","합계","아동(양육)복지시설","아동(양육)복지시설","노인복지시설","노인복지시설","장애인복지시설","장애인복지시설","여성복지시설","여성복지시설","정신질환자요양시설","정신질환자요양시설","부랑인시설","부랑인시설","기타","기타"
"시군별(1)","시설수 (개소)","생활인원 (명)","시설수 (개소)","생활인원 (명)","시설수 (개소)","생활인원 (명)","시설수 (개소)","생활인원 (명)","시설수 (개소)","생활인원 (명)","시설수 (개소)","생활인원 (명)","시설수 (개소)","생활인원 (명)","시설수 (개소)","생활인원 (명)"
"합계","729","29,232","27","1,917","597","20,525","66","3,987","30","503","6","1,452","3","848","-","-"
"수원시","45","1,892","4","267","36","1,488","2","88","3","49","-","-","-","-","-","-"
"성남시","21","1,549","1","112","16","1,245","2","163","2","29","-","-","-","-","-","-"
"안양시","18","848","3","320","11","470","1","29","3","29","-","-","-","-","-","-"
"부천시","35","1,109","-","-","31","952","2","94","2","63","-","-","-","-","-","-"
"광명시","6","290","-","-","4","246","-","-","2","44","-","-","-","-","-","-"
"평택시","20","848","4","290","14","444","2","114","-","-","-","-","-","-","-","-"
"안산시","40","1,032","-","-","36","823","4","209","-","-","-","-","-","-","-","-"
"과천시","3","127","-","-","3","127","-","-","-","-","-","-","-","-","-","-"
"오산시","8","733","-","-","6","413","1","124","-","-","1","196","-","-","-","-"
"시흥시","24","662","1","50","21","584","1","15","1","13","-","-","-","-","-","-"
"군포시","12","343","-","-","10","309","1","31","1","3","-","-","-","-","-","-"
"의왕시","9","316","1","67","8","249","-","-","-","-","-","-","-","-","-","-"
"하남시","6","193","-","-","5","180","1","13","-","-","-","-","-","-","-","-"
"용인시","47","2,667","1","80","37","2,101","5","180","3","54","1","252","-","-","-","-"
"이천시","24","1,054","-","-","16","658","7","369","1","27","-","-","-","-","-","-"
"안성시","37","1,586","1","69","32","1,312","3","191","1","14","-","-","-","-","-","-"
"김포시","15","457","-","-","13","397","2","60","-","-","-","-","-","-","-","-"
"화성시","45","1,239","-","-","40","845","2","70","1","10","1","194","1","120","-","-"
"광주시","21","816","-","-","15","501","3","281","3","34","-","-","-","-","-","-"
"여주군","26","1,259","1","113","22","880","2","190","1","76","-","-","-","-","-","-"
"양평군","26","967","-","-","21","664","5","303","-","-","-","-","-","-","-","-"
"의정부시","15","370","2","107","11","232","-","-","2","31","-","-","-","-","-","-"
"동두천시","17","1,083","2","86","12","601","-","-","1","8","1","100","1","288","-","-"
"고양시","51","1,709","1","52","45","1,078","3","308","1","6","1","265","-","-","-","-"
"구리시","6","119","-","-","6","119","-","-","-","-","-","-","-","-","-","-"
"남양주시","26","802","-","-","23","570","3","232","-","-","-","-","-","-","-","-"
"파주시","38","1,085","2","129","30","717","4","226","2","13","-","-","-","-","-","-"
"양주시","19","638","2","104","15","466","2","68","-","-","-","-","-","-","-","-"
"포천시","34","1,025","1","71","30","823","3","131","-","-","-","-","-","-","-","-"
"연천군","12","350","-","-","11","329","1","21","-","-","-","-","-","-","-","-"
"가평군","23","2,064","-","-","17","702","4","477","-","-","1","445","1","440","-","-"
