City,Name,Apr_Date,State,Cap,Cert_Mem,Max_Cap,Addr_Road,Addr_NumBase,ZipNum,WGS84Lati,WGS84Longi
고양시,고양시장애인주간보호센터 부설 단기보호시설,20120227,운영중,10,,,,경기도 고양시 일산서구 일산동,,37.6895265074,126.7653611336
고양시,나너우리센터,20071231,운영중,10,4,4,,경기도 고양시 일산동구 설문동,,37.7106450303,126.8153516519
고양시,우림누리,20020501,운영중,10,3,3,,경기도 고양시 일산동구 성석동,,37.7106450303,126.8153516519
광명시,라마의 집,20081219,운영중,10,2,4,경기도 광명시 광명로814번길 2-5,경기도 광명시 광명동 374-80번지,14275,37.4716580124,126.8511865177
광주시,광주시 장애인 단기보호시설(북부권),20050126,운영중,10,3,3,경기도 광주시 사기막길95번길 59,경기도 광주시 탄벌동 674-1번지,12748,37.4136920008,127.2257594918
광주시,광주시장애인단기보호시설,20120102,운영중,10,2,4,,경기도 광주시 곤지암읍 연곡리,,37.3780488875,127.3925038347
군포시,가온누리단기보호,20110719,운영중,10,4,4,경기도 군포시 군포로 444,경기도 군포시 당동 서일빌딩,15875,37.3461124778,126.9423681408
남양주시,신망애단기보호센터,20040707,운영중,10,4,4,,경기도 남양주시 수동면 입석리 522번지,12029,37.7207403632,127.3156560109
남양주시,맑은누리,20051111,운영중,30,4,4,경기도 남양주시 수동면 비룡로1742번길 95,경기도 남양주시 수동면 내방리 377-3번지,12024,37.7685193591,127.2902979926
동두천시,동두천시 장애인단기보호센터,20041011,운영중,12,3,3,경기도 동두천시 상패로 64,경기도 동두천시 상패동 54번지,11338,37.9071016120,127.0479217063
성남시,한우리 장애인 단기보호센터,20011101,운영중,15,0,4,경기도 성남시 중원구 순환로226번길 8,경기도 성남시 중원구 상대원동 64-1번지,13204,37.4434936391,127.1799009404
안산시,맑은동산단기보호센터,20090804,운영중,20,3,3,경기도 안산시 상록구 중보로 55,경기도 안산시 상록구 이동 716-1번지,15495,37.3078653087,126.8525765005
안산시,빛과둥지(단기),20080905,운영중,13,3,5,경기도 안산시 상록구 시낭공원안길 22,경기도 안산시 상록구 부곡동 715-1번지,15275,37.3364169477,126.8584664127
안산시,안산시상록장애인단기보호시설,20131220,운영중,10,4,4,,경기도 안산시 상록구 사동,,37.2986632641,126.8308158801
안양시,베데스다장애인단기보호시설,20041026,운영중,10,4,6,경기도 안양시 만안구 장내로140번길 12,경기도 안양시 만안구 안양동 622-205번지,13996,37.3970805890,126.9234560506
안양시,안양시수리장애인단기보호시설,20031105,운영중,20,6,9,경기도 안양시 만안구 냉천로 39,경기도 안양시 만안구 안양동 477-1번지,14091,37.3847482400,126.9272291195
양평군,창인단기보호시설,19970115,운영중,13,1,3,경기도 양평군 단월면 백동길 92,경기도 양평군 단월면 덕수리 213-2번지,12528,37.5458282270,127.6820133356
연천군,햇살마당,20060218,운영중,10,3,4,경기도 연천군 연천읍 연신로305번길 88-69,경기도 연천군 연천읍 현가리 321번지,11015,38.1195808269,127.0697188791
이천시,엘리엘동산 단기보호센터,20121123,운영중,10,,2,,경기도 이천시 마장면,,37.2682098956,127.3995246064
이천시,이천시장애인단기보호센터(효양동산),20121101,운영중,12,,,,경기도 이천시 부발읍,,37.2758441134,127.5077153171
파주시,사랑의빛,20100427,운영중,10,2,2,,경기도 파주시 금릉동,,37.7535813737,126.7775023374
파주시,푸른솔둥지,20001226,운영중,10,1,4,,경기도 파주시 법원읍,,37.8698059472,126.8936407466
파주시,사랑의빛,20100427,운영중,10,2,2,경기도 파주시 독암길 14,경기도 파주시 금능동 199번지 흰돌마을아파트 102동 102호,10932,37.7546107276,126.7834793044

