연번,구분1,구분2,시설명,소재지,시설장,연락처,FAX
1,지역사회 재활시설,복지관,구립용산장애인복지관,용산구 효창원로93길49(효창동),조민호,02-707-1970,02-707-1974
2,지역사회 재활시설,주간보호시설,용산구립주간보호센터,용산구 한강대로 331(갈월동),임금순,02-701-4282,02-701-0253
3,지역사회 재활시설,주간보호시설,햇빛자리,"용산구 백범로47길24, 101호(효창동)",박현숙,02-719-3789,02-719-3778
4,지역사회 재활시설,주간보호시설,한벗주간보호센터,용산구 효창원로69길42-3(효창동),신두철,02-713-5050,02-713-5057
5,지역사회 재활시설,주간보호시설,서울시농아인지원센터,"용산구 한강대로21길17-7, 2층(한강로3가)",박인아,02-2632-3372,02-2632-3384
6,지역사회 재활시설,수화통역센터,용산구수화통역센터,"용산구 이태원로27가길 42, 3층(이태원동)",허명훈,02-706-8367,02-706-8365
7,거주시설,중증장애인요양시설,영락애니아의 집,용산구 후암로4길70(후암동),장은희,02-754-8507,02-752-2516
8,거주시설,중증장애인요양시설,가브리엘의 집,용산구 후암로35길 22-23(후암동),김정희,02-757-1511,02-757-1512
9,거주시설,공동생활가정,자립홈,"용산구 후암로28라길9, 101호/103호/203호(후암동,예원빌라)",김수진,02-779-2122,02-779-2123
10,거주시설,공동생활가정,행복이 가득한 집,"용산구 후암로28라길9, 201호(후암동,예원빌라)",김세룡,02-2236-9081,02-2236-9086
11,거주시설,공동생활가정,행복의 집,"용산구 신흥로26길17,102호(용산동2가)",정진석,02-794-1113,
12,거주시설,공동생활가정,소망쉼터,"용산구 이태원로36길36-10, 101호 / 대사관로6가길47, 1~2층(한남동)",김다혜,02-790-9656,050-4151-9659
13,직업재활시설,보호작업장,용산구립장애인보호작업장,용산구 한강대로331(갈월동),이정민,02-711-7882,02-706-4341
