유형,간,간,간,간,간,뇌병변,뇌병변,뇌병변,뇌병변,뇌병변,뇌병변,뇌전증,뇌전증,뇌전증,뇌전증,뇌전증,시각,시각,시각,시각,시각,시각,신장,신장,신장,신장,신장,신장,심장,심장,심장,심장,심장,심장,안면,안면,안면,안면,안면,언어,언어,언어,언어,언어,언어,자폐성,자폐성,자폐성,장루.요루,장루.요루,장루.요루,장루.요루,정신,정신,정신,지적,지적,지적,지체,지체,지체,지체,지체,지체,청각,청각,청각,청각,청각,청각,호흡기,호흡기,호흡기,호흡기,호흡기
등급,1급,2급,3급,4급,5급,1급,2급,3급,4급,5급,6급,1급,2급,3급,4급,5급,1급,2급,3급,4급,5급,6급,1급,2급,3급,4급,5급,6급,1급,2급,3급,4급,5급,6급,1급,2급,3급,4급,5급,1급,2급,3급,4급,5급,6급,1급,2급,3급,2급,3급,4급,5급,1급,2급,3급,1급,2급,3급,1급,2급,3급,4급,5급,6급,1급,2급,3급,4급,5급,6급,1급,2급,3급,4급,5급
종로구,2,2,0,5,34,112,117,130,75,71,72,0,2,1,9,5,163,16,26,35,64,418,14,165,0,3,54,0,0,3,10,0,3,0,0,0,3,2,1,1,6,15,21,0,0,34,48,25,0,4,16,11,3,59,195,74,122,183,47,144,306,618,841,799,36,114,98,174,232,132,2,3,19,0,0
중구,2,0,0,0,27,122,120,99,64,79,79,0,0,5,12,9,153,16,32,36,48,449,10,160,0,3,45,0,0,2,10,0,1,0,2,0,2,2,0,0,1,17,12,0,0,30,15,16,0,2,25,9,1,47,178,74,95,148,57,122,321,578,780,813,6,120,82,174,215,106,2,9,13,0,1
용산구,2,3,1,5,53,210,136,160,100,114,111,0,2,1,13,4,139,17,39,61,89,653,18,243,0,3,74,0,0,1,15,0,2,0,0,1,1,5,0,2,6,26,36,0,0,41,42,15,0,7,39,21,4,52,232,107,166,246,85,167,400,796,1098,1158,22,136,123,248,334,165,8,15,25,0,0
성동구,0,2,4,5,69,240,249,258,186,171,162,0,1,10,20,10,155,24,50,57,111,824,28,324,0,3,109,0,0,4,27,0,6,0,1,3,2,7,1,0,10,41,59,1,0,62,70,28,0,6,60,24,10,102,338,144,230,312,113,221,648,1217,1780,1799,21,192,172,340,452,232,17,22,54,0,3
광진구,6,2,4,2,62,255,242,306,162,189,152,0,5,4,31,9,159,29,59,77,118,902,28,408,1,2,137,0,0,4,24,0,6,0,0,1,4,4,1,1,7,44,51,0,0,67,68,28,1,10,72,21,8,113,418,192,275,328,136,241,652,1148,1775,1977,24,170,186,386,468,246,9,22,33,0,0
동대문구,5,6,1,0,84,313,319,399,232,207,207,2,3,8,34,7,188,39,65,90,136,1049,28,426,0,8,146,0,1,4,40,0,3,0,0,3,2,11,3,0,14,55,44,0,0,42,72,24,1,4,73,24,11,136,506,210,234,415,160,334,845,1647,2285,2601,29,236,253,450,694,332,13,30,45,0,1
중랑구,0,3,9,3,76,436,418,462,283,243,252,0,6,12,46,15,257,39,87,91,161,1429,54,550,0,6,162,0,0,7,42,1,9,0,2,0,5,9,2,0,19,67,73,0,0,96,77,33,0,13,93,38,18,193,646,266,432,556,269,496,1138,1953,2843,3334,36,315,295,501,680,320,16,31,73,0,0
성북구,0,4,1,3,112,435,352,395,263,255,220,1,2,6,26,8,270,57,60,97,129,1263,34,535,0,8,194,0,2,4,17,1,5,0,0,4,2,11,0,1,9,65,80,0,0,72,87,37,2,7,74,30,18,118,497,240,340,449,189,337,909,1634,2452,2735,35,266,225,504,715,397,13,29,43,1,2
강북구,2,1,6,3,74,388,366,387,228,212,227,1,3,6,30,9,387,51,79,97,155,1254,38,513,1,5,127,0,0,8,25,2,6,0,0,3,2,5,1,1,16,48,79,0,0,54,67,19,0,10,80,39,10,163,548,299,409,465,229,438,901,1590,2363,2624,62,307,281,528,676,375,13,26,54,0,3
도봉구,3,2,1,1,77,412,331,354,236,206,221,1,2,8,16,9,264,37,70,74,113,1069,30,449,0,3,129,0,2,4,25,0,6,0,1,6,4,6,1,0,5,37,54,0,0,76,68,28,0,4,88,39,8,122,487,263,322,463,194,298,758,1308,2144,2400,36,273,218,458,642,330,8,21,44,0,2
노원구,3,3,7,3,91,780,679,653,311,296,280,1,4,26,66,21,542,85,119,160,231,1657,69,755,1,11,220,0,3,13,79,3,11,0,2,8,11,10,2,1,30,92,106,0,0,154,137,54,1,16,111,57,33,385,1069,665,692,807,554,909,1656,2293,3349,3728,66,579,389,710,919,526,24,47,82,0,2
은평구,4,1,5,4,115,559,450,459,266,265,279,0,1,7,39,14,307,58,106,95,181,1584,50,595,0,5,152,0,0,9,30,1,8,0,0,3,7,17,0,1,23,66,90,0,0,89,134,59,2,19,97,47,31,370,729,563,542,629,215,412,949,1798,2793,3145,44,363,362,732,940,440,21,38,74,0,3
서대문구,2,1,1,0,82,351,263,264,195,166,201,3,3,7,14,7,176,28,66,68,111,898,34,414,0,4,120,0,1,5,19,0,7,0,0,1,1,6,1,1,15,45,61,0,0,41,69,31,1,19,51,29,9,108,408,207,225,362,124,248,589,1158,1720,1891,25,209,186,382,563,273,11,12,24,0,3
마포구,2,4,3,1,76,400,273,299,166,171,182,0,2,7,23,9,236,44,64,74,103,971,36,414,2,4,146,0,0,3,24,0,10,0,1,2,3,7,0,1,7,44,64,0,0,65,74,44,2,20,56,23,4,124,371,231,273,349,187,284,681,1176,1760,1890,26,268,197,412,482,294,2,10,31,0,2
양천구,0,3,6,2,110,382,349,386,191,236,234,2,2,10,31,8,215,39,76,92,137,1145,38,457,0,7,164,0,0,3,29,1,12,0,0,2,6,4,1,0,18,57,71,0,0,95,113,40,1,9,87,32,6,139,477,269,376,457,200,394,922,1519,2387,2765,30,325,308,582,800,330,15,24,50,0,1
강서구,2,8,8,4,120,668,670,676,364,311,327,1,7,21,69,18,542,79,124,135,209,1772,100,882,0,15,261,0,0,15,48,2,8,0,2,5,10,16,0,1,15,84,138,0,0,143,149,49,0,20,118,43,38,402,1183,535,669,781,500,932,1752,2435,3447,3983,79,613,517,864,1047,550,26,41,92,0,0
구로구,1,2,6,2,83,392,306,365,217,218,206,3,3,7,27,11,271,49,78,90,143,1267,43,480,1,3,136,0,0,2,41,1,11,0,0,6,5,11,2,0,18,54,72,0,0,111,114,28,0,7,92,36,12,121,463,297,378,463,193,332,922,1580,2442,2929,56,307,269,577,729,310,16,19,63,0,2
금천구,0,0,0,1,41,225,196,220,143,132,158,0,0,7,27,5,129,33,51,51,90,825,23,334,0,1,81,0,0,4,37,0,6,0,1,3,7,4,0,1,2,37,51,0,0,40,52,11,0,5,48,23,5,104,299,148,239,336,105,267,633,1024,1539,1793,32,208,195,339,425,252,9,18,26,0,2
영등포구,0,1,2,1,76,323,268,299,206,191,206,1,2,8,16,6,195,31,66,99,132,1062,36,442,0,7,136,0,0,3,19,0,4,0,1,4,3,9,0,1,12,52,55,0,0,62,73,38,0,10,81,24,7,103,337,183,284,381,145,291,775,1263,2001,2246,27,231,222,595,655,275,8,22,29,0,0
동작구,3,4,5,2,85,347,322,317,204,189,197,1,1,4,23,15,283,38,66,92,126,1004,29,435,1,7,167,0,1,4,32,0,11,0,0,1,2,5,0,2,16,53,76,0,0,82,85,45,1,7,67,34,9,105,405,190,288,390,159,312,702,1153,2026,2269,72,328,225,470,609,307,13,14,38,0,2
관악구,2,5,6,6,83,441,364,460,270,270,265,0,2,20,31,10,359,61,100,117,172,1481,49,669,0,8,185,0,3,7,33,1,9,0,0,1,5,9,0,0,17,69,71,0,0,89,102,36,0,9,95,27,14,180,681,249,419,633,190,428,1046,1795,2788,3234,42,353,345,588,754,377,18,31,50,0,1
서초구,0,1,4,0,111,357,273,238,136,160,166,2,6,3,11,3,216,25,60,57,94,755,29,341,0,4,171,0,0,5,19,0,8,0,0,1,2,3,0,1,7,35,53,0,0,94,118,43,1,3,47,22,7,78,263,178,241,301,171,285,542,767,1362,1460,22,150,164,309,439,251,9,14,36,0,2
강남구,1,0,4,2,129,431,384,364,190,205,179,1,4,19,20,4,324,58,87,86,123,886,52,493,2,5,251,0,0,10,29,0,14,0,2,5,4,7,1,1,17,45,63,0,0,272,212,68,1,10,58,21,18,259,576,286,341,401,275,504,902,1120,1798,1913,42,261,211,379,531,294,18,28,58,0,5
송파구,2,2,4,0,166,544,407,447,244,268,271,3,2,16,32,4,263,36,95,113,168,1372,43,611,0,9,277,0,1,7,36,1,15,0,0,0,6,6,0,1,18,63,78,0,0,280,228,74,3,10,102,32,11,135,487,415,491,584,292,417,986,1546,2688,3153,40,260,279,497,744,396,19,36,56,0,3
강동구,6,0,5,6,101,472,354,369,264,256,215,4,4,12,29,10,224,34,90,92,145,1224,41,515,0,6,178,0,1,2,32,0,11,0,0,5,5,6,2,1,12,57,92,0,1,190,145,43,0,13,83,26,5,122,440,411,393,499,237,368,937,1345,2462,2708,37,226,238,460,618,354,13,27,52,0,3
